0000862	0000966
0000575	0000806
0001242	0008893
0001151	0008883
0001235	0001275
0000018	0000333
0000201	0001609
0000712	0001418
0001576	0004842
0001609	0006212
0001232	0009291
0000382	0006153
0001017	0001142
0000214	0001174
0000104	0000908
0000569	0001109
0001222	0009063
0000898	0001589
0000762	0009054
0000780	0001158
0000186	0009071
0001248	0006688
0000484	0000881
0000396	0000682
0000368	0001551
0000054	0000605
0001320	0009061
0001167	0001320
0000186	0000572
0000921	0009272
0001026	0008865
0000999	0001114
0001242	0009042
0000041	0000381
0000717	0006404
0000673	0008918
0001167	0001215
0000072	0000305
0001100	0006201
0001095	0001393
0008883	0009072
0000983	0001223
0000865	0001623
0000211	0000316
0000422	0000876
0000366	0001189
0000997	0004905
0000177	0009401
0001211	0001215
0000603	0001418
0001268	0001394
0000623	0000656
0000834	0009039
0000104	0008881
0000675	0005812
0000215	0000420
0000401	0009059
0000625	0000956
0000624	0000834
0000780	0000918
0000070	0001222
0001104	0001296
0000443	0000672
0000390	0000986
0001207	0006228
0000618	0009146
0000252	0001182
0001166	0006636
0000108	0001234
0009118	0009128
0000413	0000972
0008873	0008881
0000397	0000983
0000503	0000758
0000126	0000717
0000243	0008889
0000503	0000813
0000991	0001254
0001151	0009072
0000367	0001124
0000238	0001319
0000182	0000816
0000328	0004272
0000502	0001367
0001207	0008976
0000257	0001100
0000715	0001268
0001036	0006290
0001201	0009068
0000418	0001054
0001233	0001238
0001184	0009065
0000204	0000887
0004855	0009053
0000482	0006779
0000501	0001142
0000337	0001181
0000046	0000957
0000366	0000470
0000816	0000871
0000542	0009282
0000959	0008873
0001224	0004876
0001021	0006203
0006480	0009123
0000582	0000622
0000193	0005521
0001100	0001319
0000623	0009076
0001029	0008935
0001259	0004905
0000864	0001320
0000252	0001026
0001167	0009102
0001151	0005271
0000046	0009043
0000767	0009068
0000470	0000752
0000628	0000653
0004905	0008931
0004938	0009063
0000420	0000934
0000451	0009407
0000741	0001306
0000864	0000991
0000960	0001119
0000737	0006204
0000195	0000237
0000798	0001163
0000401	0000648
0001323	0006789
0000273	0006282
0001223	0001558
0000802	0001021
0000284	0001208
0000784	0000790
0000673	0008912
0001038	0001577
0000310	0000391
0001023	0001235
0000898	0001100
0000334	0001553
0000408	0000952
0000912	0001403
0000571	0008881
0000054	0001395
0000232	0000237
0000252	0000903
0000657	0001145
0000031	0006779
0000508	0000514
0000188	0009118
0000834	0001115
0000959	0009220
0000796	0001119
0000752	0001276
0001418	0008816
0000208	0006271
0000820	0000999
